,ID,sas_pred,TransactionID,xgboost_pred,isFraud
0,2987006,0.01276,2987006,0.009476905,0
1,2987011,0.01111,2987011,0.011886393,0
2,2987018,0.00869,2987018,0.003172173,0
3,2987031,0.00848,2987031,0.00684975,0
4,2987037,0.00825,2987037,0.002263372,0
5,2987039,0.00869,2987039,0.004234951,0
6,2987094,0.02696,2987094,0.012458075,0
7,2987137,0.00669,2987137,0.00082379,0
8,2987170,0.01192,2987170,0.015553099,0
9,2987196,0.0627,2987196,0.010075841,0
10,2987198,0.01004,2987198,0.003125297,0
11,2987211,0.0099,2987211,0.020132165,0
12,2987213,0.00973,2987213,0.013599461,0
13,2987219,0.02265,2987219,0.017474655,0
14,2987300,0.0404,2987300,0.025230145,0
15,2987304,0.01331,2987304,0.024115438,0
16,2987315,0.0088,2987315,0.013277854,0
17,2987374,0.08434,2987374,0.027267314,0
18,2987377,0.00856,2987377,0.005109549,0
19,2987391,0.00701,2987391,0.002365235,0
20,2987402,0.03448,2987402,0.032733373,0
21,2987412,0.0402,2987412,0.028202489,0
22,2987422,0.01261,2987422,0.010418471,0
23,2987476,0.01128,2987476,0.012731103,0
24,2987490,0.01004,2987490,0.001873172,0
25,2987496,0.00899,2987496,0.002730241,0
26,2987522,0.06811,2987522,0.006019353,0
27,2987529,0.09787,2987529,0.05953184,0
28,2987577,0.05019,2987577,0.07099606,0
29,2987587,0.00976,2987587,0.005651231,0
30,2987588,0.00692,2987588,0.001641541,0
31,2987612,0.11972,2987612,0.025601562,0
32,2987620,0.01403,2987620,0.006216742,0
33,2987649,0.00669,2987649,0.001114573,0
34,2987650,0.00762,2987650,0.00729642,0
35,2987689,0.0094,2987689,0.002245498,0
36,2987704,0.00998,2987704,0.006571931,0
37,2987706,0.00669,2987706,0.004199113,0
38,2987725,0.0075,2987725,0.005536918,0
39,2987740,0.00905,2987740,0.009607361,0
40,2987759,0.0068,2987759,0.003631322,0
41,2987773,0.02347,2987773,0.021976504,0
42,2987813,0.00915,2987813,0.009546893,0
43,2987815,0.01359,2987815,0.010094312,0
44,2987816,0.00957,2987816,0.00707122,0
45,2987857,0.01851,2987857,0.028581694,0
46,2987871,0.01061,2987871,0.00434265,0
47,2987894,0.43345,2987894,0.16448204,0
48,2987916,0.01497,2987916,0.01727707,0
49,2987920,0.01852,2987920,0.013935057,0
50,2987927,0.01282,2987927,0.01903086,0
51,2987931,0.0165,2987931,0.010427428,0
52,2987934,0.00769,2987934,0.009269665,0
53,2987951,0.01034,2987951,0.001831776,0
54,2987959,0.00887,2987959,0.018470008,0
55,2987966,0.0413,2987966,0.0654303,0
56,2987969,0.09731,2987969,0.0613061,0
57,2988035,0.0162,2988035,0.040987022,0
58,2988045,0.00787,2988045,0.00451629,0
59,2988059,0.14267,2988059,0.05625366,0
60,2988065,0.05049,2988065,0.08682954,0
61,2988128,0.069,2988128,0.03800874,0
62,2988157,0.01724,2988157,0.024155935,0
63,2988158,0.01149,2988158,0.005381739,0
64,2988168,0.02306,2988168,0.011078293,0
65,2988181,0.01407,2988181,0.015630167,0
66,2988186,0.02061,2988186,0.042687245,1
67,2988193,0.01132,2988193,0.003727808,0
68,2988200,0.00669,2988200,0.001829316,0
69,2988211,0.02888,2988211,0.029974325,0
70,2988317,0.0107,2988317,0.006702745,0
71,2988331,0.00692,2988331,0.00180925,0
72,2988342,0.01375,2988342,0.019849092,0
73,2988355,0.02753,2988355,0.030904738,1
74,2988359,0.00722,2988359,0.003648408,0
75,2988369,0.00976,2988369,0.002957699,0
76,2988393,0.23429,2988393,0.03971381,0
77,2988400,0.00802,2988400,0.002973447,0
78,2988401,0.00818,2988401,0.001092396,0
79,2988408,0.00998,2988408,0.009912308,0
80,2988435,0.05173,2988435,0.063210554,0
81,2988436,0.01058,2988436,0.013157746,0
82,2988438,0.01631,2988438,0.040071573,0
83,2988447,0.01049,2988447,0.002964432,0
84,2988456,0.03191,2988456,0.02551432,0
85,2988476,0.01314,2988476,0.019427886,0
86,2988493,0.0107,2988493,0.008479188,0
87,2988503,0.05161,2988503,0.057116862,0
88,2988506,0.01083,2988506,0.004638474,0
89,2988514,0.00853,2988514,0.007855729,0
90,2988522,0.04188,2988522,0.06135841,0
91,2988526,0.00923,2988526,0.021187367,0
92,2988529,0.01261,2988529,0.015331039,0
93,2988544,0.0132,2988544,0.021894744,0
94,2988549,0.01851,2988549,0.003499223,0
95,2988550,0.00802,2988550,0.001570738,0
96,2988568,0.02594,2988568,0.003121302,0
97,2988570,0.01185,2988570,0.013924995,0
98,2988579,0.00769,2988579,0.003142896,0
99,2988629,0.00971,2988629,0.003136213,0
100,2988632,0.01397,2988632,0.028194128,0
101,2988663,0.01093,2988663,0.01172844,0
102,2988674,0.00737,2988674,0.010935786,0
103,2988741,0.01118,2988741,0.014918902,0
104,2988752,0.01462,2988752,0.01635294,0
